architecture,lr,batch_size,dropout,batchnorm,epochs_ran,best_val_loss,test_accuracy,test_precision,test_recall,test_f1,train_time_sec,params
32,0.001,16,0.0,True,58,0.0871458500623703,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,8.03281855583191,1153
32,0.0001,16,0.0,True,100,0.12583020329475403,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136,14.847203254699707,1153
32,0.0005,16,0.2,True,100,0.06717628240585327,0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,13.631440162658691,1153
64-32,0.001,32,0.3,False,47,0.06325163692235947,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,6.86086368560791,4097
64-32,0.001,32,0.0,True,53,0.085572749376297,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,8.35793662071228,4481
64-32-16,0.0005,32,0.2,False,71,0.058105774223804474,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,9.052844762802124,4609
32,0.001,32,0.0,False,100,0.06402656435966492,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,11.231805562973022,1025
128-64-32,0.0001,32,0.0,False,100,0.07505727559328079,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,11.727565288543701,14337
64-32,0.0005,32,0.3,True,100,0.05857567489147186,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,13.355763673782349,4481
64-32,0.0001,16,0.2,True,100,0.1144375279545784,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,13.552640676498413,4481
32,0.0005,32,0.2,True,100,0.0670369565486908,0.9736842105263158,0.9859154929577465,0.9722222222222222,0.9790209790209791,31.15819764137268,1153
64-32-16,0.001,16,0.0,True,41,0.07622860372066498,0.9736842105263158,1.0,0.9583333333333334,0.9787234042553191,7.272648811340332,5057
64-32-16,0.001,32,0.0,False,31,0.08290637284517288,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,3.94735050201416,4609
128-64-32,0.001,16,0.0,True,44,0.04233857989311218,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,7.139414310455322,15233
64-32-16,0.001,16,0.3,False,47,0.06325719505548477,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,7.322499752044678,4609
64-32,0.001,16,0.2,True,54,0.05978158861398697,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,8.605828046798706,4481
64-32,0.0005,32,0.2,False,62,0.06618138402700424,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,9.024778366088867,4097
64-32,0.0001,32,0.3,False,100,0.12747283279895782,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,12.835688352584839,4097
128-64-32,0.0001,32,0.3,True,100,0.11379329115152359,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,13.158225059509277,15233
128-64-32,0.0005,32,0.0,True,100,0.050967149436473846,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,13.418272018432617,15233
64-32-16,0.0001,16,0.0,False,100,0.07247002422809601,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,13.62260913848877,4609
128-64-32,0.0001,16,0.2,False,100,0.058280013501644135,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,13.792569637298584,14337
128-64-32,0.0001,16,0.0,False,98,0.06387332081794739,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,13.833015203475952,14337
128-64-32,0.0001,16,0.2,True,100,0.08849327266216278,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222,16.18074345588684,15233
128-64-32,0.001,16,0.0,False,28,0.059814147651195526,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,4.362773180007935,14337
128-64-32,0.0005,16,0.0,False,33,0.055161915719509125,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,4.993479251861572,14337
64-32-16,0.0005,32,0.0,False,48,0.07840917259454727,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,5.9884092807769775,4609
128-64-32,0.0005,16,0.2,False,37,0.06040867418050766,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,6.508435010910034,14337
64-32,0.001,16,0.0,True,37,0.1259142905473709,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,6.51226806640625,4481
128-64-32,0.001,32,0.2,True,50,0.04686384275555611,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,7.205343246459961,15233
64-32,0.001,32,0.0,False,56,0.05357863008975983,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,7.2217981815338135,4097
64-32,0.001,16,0.0,False,53,0.0577881783246994,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,7.268864870071411,4097
128-64-32,0.001,16,0.3,True,46,0.061236802488565445,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,7.733646631240845,15233
64-32,0.0005,16,0.0,False,64,0.06522837281227112,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,10.137223243713379,4097
32,0.001,32,0.2,True,100,0.06560604274272919,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,11.283469438552856,1153
64-32,0.0005,32,0.3,False,100,0.05637578293681145,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,11.422561407089233,4097
32,0.001,32,0.3,True,100,0.060361720621585846,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,11.522826194763184,1153
32,0.001,32,0.2,False,100,0.06577695161104202,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,11.972594738006592,1025
32,0.001,16,0.2,True,100,0.06039906293153763,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,13.104625940322876,1153
64-32,0.0005,32,0.0,True,100,0.08580507338047028,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,13.367323637008667,4481
64-32-16,0.001,16,0.3,True,95,0.04772273823618889,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,14.510234832763672,5057
128-64-32,0.0005,32,0.2,True,100,0.08537961542606354,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,14.691099643707275,15233
64-32,0.0005,16,0.0,True,100,0.03548365831375122,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,15.214385271072388,4481
32,0.0005,16,0.2,False,100,0.0561201237142086,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,26.59377932548523,1025
32,0.0005,32,0.3,True,100,0.07370752096176147,0.9649122807017544,0.9857142857142858,0.9583333333333334,0.971830985915493,33.10727334022522,1153
64-32,0.0001,16,0.3,True,100,0.13850727677345276,0.956140350877193,0.9466666666666667,0.9861111111111112,0.9659863945578231,18.08368492126465,4481
64-32-16,0.0001,32,0.2,True,100,0.15237213671207428,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,12.784563302993774,5057
128-64-32,0.0001,16,0.3,False,100,0.08969754725694656,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,13.710970163345337,14337
